CECaseNumber__c,AlarmId__c,RCA_Reason__c,RCA_Comments__c,Delay_Reason__c,Delay_Comments__c,Status,Date_Time_Resolved__c,Material1__c,Material2__c,Material3__c,Material4__c,Material5__c,Material_1_Quantity__c,Material_2_Quantity__c,Material_3_Quantity__c,Material_4_Quantity__c,Material_5_Quantity__c,GIS_Updation_Required__c,GIS_Updated__c,Material_Consumed__c,Customer_TID__c
MUM_170724_221368,,Fiber cut,17-fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221791,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221787,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221564,,Fiber cut,18-17- fiber cut 11-Fiber Cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221673,,Fiber cut,18-17- fiber cut 04-Area power issue,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221672,,Fiber cut,18-17- fiber cut 04-Area power issue,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221703,,Fiber cut,18-17- fiber cut 04-Area power issue,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_220700,,Fiber cut,17-Fiber Cut / /-09-Area Power Fail,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_220699,,Fiber cut,17-Fiber Cut / /-09-Area Power Fail,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_220698,,Fiber cut,17-Fiber Cut / /-09-Area Power Fail,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221943,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221937,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221963,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_222075,,Fiber cut,17-fiber cut-10-Area Power Fail/7-Infra-Power Auto restored,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_222069,,Fiber cut,17-fiber cut-10-Area Power Fail/7-Infra-Power Auto restored,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_222068,,Fiber cut,17-fiber cut-10-Area Power Fail/7-Infra-Power Auto restored,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_222051,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_222050,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_222021,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_222144,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_222142,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_222138,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_222002,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_222001,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221941,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221939,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221547,,Fiber cut,18-17- fiber cut 8- fiber cute 05-Area power Fail,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221551,,Fiber cut,18-17- fiber cut 8- fiber cute 05-Area power Fail,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221549,,Fiber cut,18-17- fiber cut 8- fiber cute 05-Area power Fail,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221650,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221648,,Fiber cut,17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221746,,Fiber cut,18-17- fiber cut12-10-Node Isolate09-fiber 08-power,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221745,,Fiber cut,18-17- fiber cut12-10-Node Isolate09-fiber 08-power,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221726,,Fiber cut,18-17- fiber cut12-10-Node Isolate09-fiber 08-power,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221647,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221612,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221610,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221529,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221526,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221524,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_220454,,Fiber cut,17- Temp Site Decom CSP Renovation WIP -Fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_220486,,Fiber cut,17- Temp Site Decom CSP Renovation WIP -Fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221132,,Fiber cut,17- Temp Site Decom CSP Renovation WIP -Fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221652,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221839,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221837,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221651,,Fiber cut,18-17 -fiber cut-05-04-Fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221614,,Fiber cut,18-17 -fiber cut-05-04-Fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221611,,Fiber cut,18-17 -fiber cut-05-04-Fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_222143,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_222141,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_222140,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221554,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221544,,Fiber cut,18-17- fiber cut 11-Fiber Cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221566,,Fiber cut,18-17- fiber cut 11-Fiber Cut,BMC issue/tree cutting,,Closed,17-07-2024 23:59,,,,,,,,,,,False,No,FALSE,
MUM_170724_221903,,Fiber cut,17-FIBER CUT,BMC issue/tree cutting,,Closed,17-07-2024 23:53,,,,,,,,,,,False,No,FALSE,
MUM_170724_221366,,Fiber cut,17-FIBER CUT,BMC issue/tree cutting,,Closed,17-07-2024 15:26,,,,,,,,,,,False,No,FALSE,
MUM_170724_221256,,Fiber cut,Bharat Singh house road crossing fiber cut the,BMC issue/tree cutting,,Closed,17-07-2024 16:23,,,,,,,,,,,False,No,FALSE,
MUM_170724_221807,,Fiber cut,Bharat Singh house road crossing fiber cut the,BMC issue/tree cutting,,Closed,17-07-2024 18:22,,,,,,,,,,,False,No,FALSE,
MUM_170724_221904,,Fiber cut,Bharat Singh house road crossing fiber cut the,BMC issue/tree cutting,,Closed,17-07-2024 19:35,,,,,,,,,,,False,No,FALSE,
MUM_170724_222019,,Fiber cut,Bharat Singh house road crossing fiber cut the,BMC issue/tree cutting,,Closed,17-07-2024 21:11,,,,,,,,,,,False,No,FALSE,
MUM_170724_222228,,Fiber cut,Bharat Singh house road crossing fiber cut the,BMC issue/tree cutting,,Closed,17-07-2024 23:53,,,,,,,,,,,False,No,FALSE,
MUM_170724_220666,,Fiber cut,17 -fiber 16-Area Power Fail,BMC issue/tree cutting,,Closed,17-07-2024 08:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_220656,,Fiber cut,17 -fiber 16-Area Power Fail,BMC issue/tree cutting,,Closed,17-07-2024 08:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_220645,,Fiber cut,17 -fiber 16-Area Power Fail,BMC issue/tree cutting,,Closed,17-07-2024 08:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221276,,Fiber cut,17-Fiber cut,BMC issue/tree cutting,,Closed,18-07-2024 05:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221275,,Fiber cut,17-Fiber cut,BMC issue/tree cutting,,Closed,18-07-2024 05:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221273,,Fiber cut,17-Fiber cut,BMC issue/tree cutting,,Closed,18-07-2024 05:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_220671,,Fiber cut,17- fiber 05-04-Area Power Fail Auto Restored,BMC issue/tree cutting,,Closed,17-07-2024 08:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_220670,,Fiber cut,17- fiber 05-04-Area Power Fail Auto Restored,BMC issue/tree cutting,,Closed,17-07-2024 08:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221786,,Fiber cut,17- fiber 05-04-Area Power Fail Auto Restored,BMC issue/tree cutting,,Closed,18-07-2024 02:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221764,,Fiber cut,17- fiber 05-04-Area Power Fail Auto Restored,BMC issue/tree cutting,,Closed,18-07-2024 02:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221274,,Fiber cut,17-10-Fiber Cut,BMC issue/tree cutting,,Closed,17-07-2024 14:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221427,,Fiber cut,18-17 -fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 15:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_220910,,Power issue,17- Power,The EB team is not allowed,,Closed,17-07-2024 11:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221069,,Power issue,17-Area Power Fail,The EB team is not allowed,,Closed,17-07-2024 12:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221237,,Power issue,17-Area Power Fail,The EB team is not allowed,,Closed,17-07-2024 13:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221143,,Power issue,17-Area Power Fail,The EB team is not allowed,,Closed,17-07-2024 13:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221403,,Power issue,17-Area Power Fail,The EB team is not allowed,,Closed,17-07-2024 16:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221357,,Power issue,17-Area Power Fail,The EB team is not allowed,,Closed,17-07-2024 14:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221287,,Power issue,17-Area Power Fail,The EB team is not allowed,,Closed,17-07-2024 14:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221767,,Power issue,17-Area Power Fail,The EB team is not allowed,,Closed,17-07-2024 18:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221836,,Power issue,17-Area Power Fail,The EB team is not allowed,,Closed,17-07-2024 19:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221674,,Fiber cut,17 -fiber cut,BMC issue/tree cutting,,Closed,18-07-2024 15:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221667,,Fiber cut,17 -fiber cut,BMC issue/tree cutting,,Closed,18-07-2024 15:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221702,,Fiber cut,17 -fiber cut,BMC issue/tree cutting,,Closed,18-07-2024 15:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221049,,Power issue,17-15-12-10-Area Power Fail,The EB team is not allowed,,Closed,18-07-2024 08:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221048,,Power issue,17-15-12-10-Area Power Fail,The EB team is not allowed,,Closed,18-07-2024 08:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221700,,Fiber cut,17- fiber12-11-Area Power Fail,BMC issue/tree cutting,,Closed,18-07-2024 13:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221699,,Fiber cut,17- fiber12-11-Area Power Fail,BMC issue/tree cutting,,Closed,18-07-2024 13:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221696,,Fiber cut,17- fiber12-11-Area Power Fail,BMC issue/tree cutting,,Closed,18-07-2024 13:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221131,,Fiber cut,17-11-08-fiber Cut,BMC issue/tree cutting,,Closed,17-07-2024 19:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221130,,Fiber cut,17-11-08-fiber Cut,BMC issue/tree cutting,,Closed,17-07-2024 19:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221229,,Fiber cut,17-4-Fiber Cut,BMC issue/tree cutting,,Closed,17-07-2024 23:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221228,,Fiber cut,17-4-Fiber Cut,BMC issue/tree cutting,,Closed,17-07-2024 23:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221354,,Power issue,17-Area Power Fail,The EB team is not allowed,,Closed,17-07-2024 22:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221835,,Fiber cut,17-15-Road crossing fiber cut ,BMC issue/tree cutting,,Closed,17-07-2024 22:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221834,,Fiber cut,17-15-Road crossing fiber cut ,BMC issue/tree cutting,,Closed,17-07-2024 22:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221833,,Fiber cut,17-15-Road crossing fiber cut ,BMC issue/tree cutting,,Closed,17-07-2024 22:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_220397,,Active,17-Master Up Slev  down,Due to traffic on the road,,Closed,17-07-2024 14:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_220393,,Active,17-Master Up Slev  down,Due to traffic on the road,,Closed,17-07-2024 14:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_220440,,Fiber cut,11- fiber09-Fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 03:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_220432,,Fiber cut,11- fiber09-Fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 03:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_220431,,Fiber cut,11- fiber09-Fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 03:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221238,,Fiber cut,17-Fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 15:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221236,,Fiber cut,17-Fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 15:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221233,,Power issue,17-Area Power Fail,The EB team is not allowed,,Closed,17-07-2024 15:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221232,,Fiber cut,17-Fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 15:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221234,,Active,17-16- vswr 15- Area power Fail / 13-Active H/W Issue,Due to traffic on the road,,Closed,17-07-2024 14:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221182,,Active,17-Active VSWR alarm15- Area power Fail / 13-Active H/W Issue,Due to traffic on the road,,Closed,17-07-2024 18:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221404,,Active,17-16- vswr 15- Area power Fail / 13-Active H/W Issue,Due to traffic on the road,,Closed,17-07-2024 15:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221320,,Active,17-16- vswr 15- Area power Fail / 13-Active H/W Issue,Due to traffic on the road,,Closed,17-07-2024 14:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221525,,Active,17-16- vswr 15- Area power Fail / 13-Active H/W Issue,Due to traffic on the road,,Closed,17-07-2024 16:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221423,,Active,17-16- vswr 15- Area power Fail / 13-Active H/W Issue,Due to traffic on the road,,Closed,17-07-2024 15:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221552,,Active,17-16- vswr 15- Area power Fail / 13-Active H/W Issue,Due to traffic on the road,,Closed,17-07-2024 18:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_222071,,Active,17-Active VSWR alarm15- Area power Fail / 13-Active H/W Issue,Due to traffic on the road,,Closed,17-07-2024 22:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_222209,,Active,17-16- vswr 15- Area power Fail / 13-Active H/W Issue,Due to traffic on the road,,Closed,18-07-2024 05:13,,,,,,,,,,,False,No,FALSE,
MUM_170724_222208,,Active,17-Active VSWR alarm15- Area power Fail / 13-Active H/W Issue,Due to traffic on the road,,Closed,18-07-2024 05:13,,,,,,,,,,,False,No,FALSE,
